No,カテゴリ,ペルソナ/ターゲット,ユースケース,プロンプトテンプレート,プロンプトサンプル①,プロンプトサンプル②,プロンプトサンプル③,プロンプトサンプル④,プロンプトサンプル⑤,備考,@dropdown,,@dropdown,,@dropdown,,
11,メールマーケ,P: メルマガ担当T: EC事業者,メールヘッダー画像,# 指示書: 開封率向上メールヘッダー【役割】メールマーケティング・ビジュアルデザイナー【目的】[キャンペーン]のメール開封後の第一印象最適化【ヘッダー仕様】・キャンペーン: [名称]の価値を瞬時に伝達・ビジュアル階層: [メインイメージ] > [オファー] > [CTA]の優先順位・テキスト要素: 件名連動の[キャッチコピー]を[フォント]で・配色戦略: [ブランドカラー]をベースに[アクション色]でCTA強調・モバイル最適化: テキストサイズ最小16px、タップ領域44px以上【技術要件】・サイズ: 600px幅(メール標準)・解像度: 72dpi (Web表示)・ファイル: 150KB以下 (読込速度重視)・代替テキスト設定必須,# 指示書: セールス開始メールヘッダー【役割】プロモーションデザイナー【目的】週末セール告知の緊急性訴求【ヘッダー仕様】・キャンペーン: 「週末限定50%OFFセール」・階層: セール商品画像 > 50%OFF表示 > 今すぐ購入ボタン・テキスト: 「週末だけの特別価格」(源ノ角ゴBold 36px)・配色: ブランドブルー + 赤でセール強調・モバイル: ボタン高さ50px【出力】・600px幅 / 72dpi・<150KB・代替テキスト: 「週末限定50%OFFセール開催中」,# 指示書: 新商品紹介メールヘッダー【役割】プロダクトストーリーテラー【目的】新作への期待感醸成【ヘッダー仕様】・キャンペーン: 「春の新作コレクション」・階層: 新作メイン画像 > 商品特徴 > コレクション見るボタン・テキスト: 「春を彩る新作登場」(ヒラギノ明朝Bold 32px)・配色: パステルピンク + 白で春らしさ・モバイル: 画像最適化で高速表示【出力】・600px幅 / 72dpi・<150KB・代替テキスト: 「春の新作コレクション登場」,# 指示書: カート放棄リマインドヘッダー【役割】コンバージョン最適化専門家【目的】カート放棄ユーザーの購入完了促進【ヘッダー仕様】・キャンペーン: 「カートに残っています」・階層: カート内商品画像 > 「お待ちしています」 > 購入完了ボタン・テキスト: 「まだ間に合います」(游ゴシックBold 28px)・配色: 優しいグレー + 緑で安心感とアクション・モバイル: パーソナライズ商品画像【出力】・600px幅 / 72dpi・<150KB・代替テキスト: 「カート内商品をご確認ください」,# 指示書: 会員限定オファーヘッダー【役割】ロイヤルティプログラムデザイナー【目的】会員の特別感とVIP意識醸成【ヘッダー仕様】・キャンペーン: 「プレミアム会員様限定」・階層: VIPバッジ > 限定商品 > 専用オファーボタン・テキスト: 「あなただけの特典」(メイリオBold 30px)・配色: 高級感のゴールド + 黒・モバイル: 会員ステータス表示【出力】・600px幅 / 72dpi・<150KB・代替テキスト: 「プレミアム会員様限定オファー」,# 指示書: イベント招待メールヘッダー【役割】イベントマーケティングデザイナー【目的】イベント参加申込率向上【ヘッダー仕様】・キャンペーン: 「特別イベントご招待」・階層: イベントビジュアル > 日時場所 > 申込ボタン・テキスト: 「限定100名様ご招待」(筑紫A丸ゴBold 34px)・配色: イベントテーマカラー + 橙でアクション・モバイル: カレンダー追加機能【出力】・600px幅 / 72dpi・<150KB・代替テキスト: 「特別イベントへのご招待」,Mailchimp/SendGrid連携。開封率18%→25%向上。,,,,,,,
12,Web制作,P: マーケターT: スタートアップ,LPヒーローセクション,# 指示書: CVR最大化ヒーローセクション【役割】ランディングページ最適化スペシャリスト【目的】[商品/サービス]の価値を3秒で伝えコンバージョン誘導【セクション構成】・ファーストビュー要素: - ヘッドライン: [価値提案]を[フォント]で大胆に - サブヘッド: [具体的ベネフィット]を補足 - ヒーローイメージ: [商品/利用シーン]を右側配置 - CTA: [行動喚起ボタン]を左下に目立つ配色 - 信頼要素: [実績/受賞/ロゴ]を下部配置・デザイン原則: F字視線誘導、余白活用、モバイルファースト【技術仕様】・サイズ: デスクトップ1920px / モバイル375px対応・Above the fold: スクロールなしで完結・ロード: 2秒以内表示,# 指示書: SaaS無料トライアルLP【役割】SaaSコンバージョン専門家【目的】無料トライアル登録率30%達成【セクション構成】・ヘッドライン: 「3分で始める業務自動化」(游ゴシックBold 56px)・サブ: 「月間100時間削減の実績」(32px)・ヒーローイメージ: ダッシュボード画面を右60%・CTA: 「無料で始める」緑ボタン左下・信頼: 「導入企業1000社突破」ロゴ帯【出力】・1920px幅 / モバイル対応・Above the fold完結・<2秒ロード,"# 指示書: Eコマース商品LP【役割】Eコマースコンバージョンデザイナー【目的】商品詳細ページからのカート追加率向上【セクション構成】・ヘッドライン: 「プロが選ぶ最高品質」(ヒラギノ明朝Bold 48px)・サブ: 「満足度98%のこだわり」(28px)・ヒーローイメージ: 商品写真を中央大きく・CTA: 「カートに入れる」橙ボタン下部・信頼: 「★4.8 (2,340件)」レビュー表示【出力】・1920px幅 / モバイル対応・商品フォーカス・<2秒ロード","# 指示書: B2Bホワイトペーパー獲得LP【役割】リードジェネレーション専門家【目的】ホワイトペーパーDL率20%達成【セクション構成】・ヘッドライン: 「2026年AI活用ガイド無料公開」(源ノ角ゴBold 52px)・サブ: 「78%の企業が成果を実感」(30px)・ヒーローイメージ: ホワイトペーパー表紙を右に・CTA: 「無料ダウンロード」青ボタン左・信頼: 「10,000DL突破」実績表示【出力】・1920px幅 / モバイル対応・Above the fold完結・<2秒ロード",# 指示書: イベント申込LP【役割】イベントマーケティングデザイナー【目的】イベント満席達成の申込促進【セクション構成】・ヘッドライン: 「AI時代を生き抜くセミナー」(メイリオBold 50px)・サブ: 「残席わずか!限定50名」(28px)・ヒーローイメージ: 過去イベント満席写真・CTA: 「今すぐ申し込む」赤ボタン中央・信頼: 「参加者満足度92%」実績【出力】・1920px幅 / モバイル対応・緊急性訴求・<2秒ロード,# 指示書: アプリDL促進LP【役割】モバイルアプリマーケター【目的】アプリストアへの遷移率最大化【セクション構成】・ヘッドライン: 「スマホで完結する新習慣」(筑紫A丸ゴBold 54px)・サブ: 「50万DL突破の人気アプリ」(30px)・ヒーローイメージ: アプリ画面モックアップ・CTA: 「App Store」「Google Play」ボタン並列・信頼: 「★4.7 高評価」レビュー【出力】・1920px幅 / モバイル最優先・ストアボタン目立つ・<2秒ロード,A/Bテストツール連携。CVR平均15%→22%向上。,,,,,,,
13,データ分析資料,P: データアナリストT: 全業種,データダッシュボード,# 指示書: 経営判断支援ダッシュボード【役割】データビジュアライゼーション・アーキテクト【目的】[部門]の重要指標を一画面で俯瞰可能に【ダッシュボード構成】・KPI配置: [指標1/2/3]を上部カード形式で・メイングラフ: [指標]の時系列推移を中央大きく・サブグラフ: [内訳/比較]を左右2列配置・フィルター: 期間/カテゴリ選択を右上・アラート: しきい値超過を⚠で視覚化【デザイン原則】・情報階層: 重要度順に配置・配色: [グリーン:良好 / イエロー:注意 / レッド:警告]・インタラクティブ: クリックで詳細ドリルダウン・更新頻度: [リアルタイム / 日次 / 週次]表示,# 指示書: 営業部門ダッシュボード【役割】セールスアナリティクス専門家【目的】営業KPIの可視化と目標達成支援【ダッシュボード構成】・KPI: 売上/商談数/成約率を上部カード・メイン: 月次売上推移グラフ中央・サブ: 商品別売上(左)、営業担当別(右)・フィルター: 期間/地域/担当者・アラート: 目標未達を⚠表示【出力】・配色: 達成(緑) / 未達(赤)・インタラクティブ: 担当者クリックで詳細・更新: リアルタイム,# 指示書: マーケティングダッシュボード【役割】マーケティングROI分析家【目的】広告効果とROIの即時把握【ダッシュボード構成】・KPI: CPA/ROAS/CTRを上部・メイン: チャネル別ROI比較グラフ・サブ: キャンペーン別(左)、デバイス別(右)・フィルター: キャンペーン/期間・アラート: CPA高騰を⚠【出力】・配色: 高ROI(緑) / 低ROI(赤)・インタラクティブ: チャネルクリックで詳細・更新: 日次,# 指示書: カスタマーサポートダッシュボード【役割】カスタマーサクセスアナリスト【目的】サポート品質とNPSの監視【ダッシュボード構成】・KPI: 平均対応時間/解決率/NPSを上部・メイン: 日別問合せ件数推移・サブ: カテゴリ別(左)、満足度分布(右)・フィルター: 期間/カテゴリ/担当・アラート: 対応遅延を⚠【出力】・配色: 高満足度(緑) / 低満足度(赤)・インタラクティブ: カテゴリドリルダウン・更新: リアルタイム,# 指示書: 人事ダッシュボード【役割】HRアナリティクス専門家【目的】組織健全性と離職リスクの監視【ダッシュボード構成】・KPI: 従業員数/離職率/満足度を上部・メイン: 月次採用・離職推移・サブ: 部門別離職率(左)、年齢分布(右)・フィルター: 部門/職種/年度・アラート: 離職率上昇を⚠【出力】・配色: 健全(緑) / 要注意(赤)・インタラクティブ: 部門クリックで詳細・更新: 月次,# 指示書: 財務ダッシュボード【役割】財務アナリスト【目的】資金繰りとキャッシュフローの監視【ダッシュボード構成】・KPI: 売上/利益/キャッシュを上部・メイン: 月次PL推移グラフ・サブ: 費用内訳(左)、キャッシュフロー(右)・フィルター: 期間/セグメント・アラート: 資金ショートリスクを⚠【出力】・配色: 黒字(緑) / 赤字(赤)・インタラクティブ: 費用ドリルダウン・更新: 日次,Tableau/PowerBI/Looker出力対応。意思決定時間50%削減。,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,めっちゃ適当にプロンプトだけ載せるのもokです,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,猫,猫好き,猫ファン,猫の画像生成して,,,,,,,,,,,,,
,例のネズミ,例のネズミ好き,例のネズミファン,世界で一番有名な鼠のキャラを生成して,,,,,,,,,,,,,
,,,,https://x.com/akira_papa_IT/status/1992397853793354026,,,,,,,,,,,,,
0,Web制作,P: マーケターT: スタートアップ,LPセクション,"# 指示書: 《キャンペーン名やLPタイトル》ヒーローバナー
【役割】Webバナーデザイナー
【目的】《どんなサービス／商品》の魅力と、《どんな悩み or メリット》を一画面で強く訴求する

【バナー構成】
・フォーマット:
  アスペクト比《例：21:9》、解像度《例：2K》

・背景:
  ベースカラーは《ブランドの基調色（例：深いグリーン）》
  《グラデーション or 単色》で塗り、
  《斜めの光／放射状の光／パターン》などの演出で動きをつける
  背景にはうっすら《サービスに関連するモチーフ（例：家／ビル／PC／人のシルエットなど）》のパターンを入れてもよい

・中央見出し（キャッチコピー）:
  画面中央付近に、太字の日本語見出しを1〜2行で配置する  
  1行目：「《キャッチコピー1行目（例：そのお悩み、◯◯が）》」  
  2行目：「《キャッチコピー2行目（例：まとめて引き受けます！）》」  
  色は《例：白＋明るいアクセントカラー》で、少し斜めにしたり大きくしてインパクトを出す

・サブコピー（説明文）:
  見出しのすぐ下に、小さめの日本語テキストを1〜2行で配置  
  「《サービスの説明を1文で：何をどこまでやってくれるのか簡潔に》」

・下部エリア（4つのポイント／悩み／メリット）:
  バナー下部に、角丸のボックスを《3〜4個》横並びで配置  
  各ボックス内に
  - アイコン：《アイコンのイメージ（例：お金／電話／書類／人の表情）》
  - キャプション：「《短い一文で悩み or メリットを書く》」
  を入れる  

  例：4つの場合  
  ① アイコン： 《例：お金＋！マーク》  
     キャプション：「《例：料金を払ったのに進まない》」  
  ② アイコン： 《例：壊れたフェンス／壊れたグラフ》  
     キャプション：「《例：途中で止まったまま》」  
  ③ アイコン： 《例：バツ印付き電話／チャット》  
     キャプション：「《例：担当者と連絡が取れない》」  
  ④ アイコン： 《例：不安そうな顔／悩んでいる人》  
     キャプション：「《例：他社に断られてしまった》」

【デザイン原則】
・トーン:
  《力強い／高級感／親しみやすい／ポップ》など、今回のブランドイメージに合わせたトーンにする

・タイポグラフィ:
  見出しは視認性の高い《太めゴシック／太め明朝》など、はっきり読める日本語フォントを使用  
  見出し ＞ サブコピー ＞ 下部ボックスの順で視線が流れるように大きさ・太さを調整する

・配色:
  ベースカラー：《ブランドの基調色》  
  アクセントカラー：《強調したい色（例：黄色／ティール／オレンジなど）》  
  テキストの可読性を最優先し、背景とのコントラストを十分に取る

・情報整理:
  1. 中央見出し：ユーザーの「悩み／願望」に直接応える言葉  
  2. サブコピー：具体的に何をしてくれるサービスか一文で補足  
  3. 下部ボックス：代表的な悩み or メリットを並べて「自分ごと」感を強める  
  という順番で自然に読み進められる構成にする

・テキスト言語:
  すべて日本語のみ使用し、英語は使わない
",指示書: 外構レスキュー21:9ヒーローバナー【役割】Webバナーデザイナー【目的】外構レスキューサービスの魅力と4つの代表的な悩みを一画面で強く訴求する【バナー構成】・フォーマット: アスペクト比21:9、2K解像度・背景: 中央から広がる深いグリーンの放射状グラデーション＋斜め方向のダイナミックな光のライン＋家のシルエットパターンを薄く敷き詰める・中央見出し: 画面中央に白＋明るい黄色の太字日本語見出しをやや斜めに2行配置「そのお悩み、外構レスキュー隊が」「まとめて引き受けます！」・サブコピー: 見出し直下に小さめの白文字で「途中で止まった外構工事の現状調査から、プラン再提案・工事の引き継ぎまでワンストップで対応。」を1行で配置・ボトムエリア: 下部に白い角丸長方形ボックスを4つ横並びに配置し、それぞれティール系アイコン＋黒字キャプション①お金＋！アイコン「着手金を払ったのに工事が進まない」②壊れたフェンスアイコン「外構が途中で止まったまま」③バツ印付き電話アイコン「業者と連絡が取れない」④不安そうな顔アイコン「他社に断られてしまった」【デザイン原則】・トーン: LP広告らしい力強いレスキュー感と即時性・タイポグラフィ: 視認性の高い太め日本語フォントでインパクト重視・配色: 深緑をベースに白／明るい黄色／ティールをアクセントとして使用・情報整理: 中央見出し＞サブコピー＞4つの悩みボックスの順で視線誘導・テキスト言語: すべて日本語のみとし、英語は使用しない,"# 指示書: 《AIエージェント導入》ヒーローバナー
【役割】Webバナーデザイナー
【目的】《AIエージェント導入》の魅力と、《日々の貧雑な作業を解消でき》を一画面で強く訴求する

【バナー構成】
・フォーマット:
  アスペクト比《例：21:9》、解像度《例：2K》

・背景:
  ベースカラーは《紺色》
  《グラデーション 》で塗り、
  《幾何学模様》などの演出で動きをつける
  背景にはうっすら《AIを想起させるロボットの画像》を入れてもよい

・中央見出し（キャッチコピー）:
  画面中央付近に、太字の日本語見出しを1〜2行で配置する  
  1行目：「《AI導入でお困りではありませんか？》」  
  2行目：「《AIが解決します！）》」  
  色は《白＋明るいアクセントカラー》で、少し斜めにしたり大きくしてインパクトを出す

・サブコピー（説明文）:
  見出しのすぐ下に、小さめの日本語テキストを1〜2行で配置  
  「《人が作業をする時代はもう終わりました》」

・下部エリア（4つのポイント／悩み／メリット）:
  バナー下部に、角丸のボックスを《4個》横並びで配置  
  各ボックス内に
  - アイコン：
  - キャプション：「《短い一文で悩み or メリットを書く》」
  を入れる  

  例：4つの場合  
  ① アイコン： 《例：メール》  
     キャプション：「《メールの返信を自動化》」  
  ② アイコン： 《例：電話》  
     キャプション：「《電話をAIが受け答え記録》」  
  ③ アイコン： 《例：ブログ》  
     キャプション：「《ブログやSNSを自動で投稿》」  
  ④ アイコン： 《例：不安そうな顔／悩んでいる人》  
     キャプション：「《AIが不安でも大丈夫》」

【デザイン原則】
・トーン:
  《力強い／高級感／親しみやすい／ポップ》など、今回のブランドイメージに合わせたトーンにする

・タイポグラフィ:
  見出しは視認性の高い《太めゴシック／太め明朝》など、はっきり読める日本語フォントを使用  
  見出し ＞ サブコピー ＞ 下部ボックスの順で視線が流れるように大きさ・太さを調整する

・配色:
  ベースカラー：《紺色》  
  アクセントカラー：《紫色》  
  テキストの可読性を最優先し、背景とのコントラストを十分に取る

・情報整理:
  1. 中央見出し：ユーザーの「悩み／願望」に直接応える言葉  
  2. サブコピー：具体的に何をしてくれるサービスか一文で補足  
  3. 下部ボックス：代表的な悩み or メリットを並べて「自分ごと」感を強める  
  という順番で自然に読み進められる構成にする

・テキスト言語:
  すべて日本語のみ使用し、英語は使わない",,,,,,,,,,,
,,,,https://x.com/jacalulu/status/1993077750991860110,,,,,,,,,,,,,
,,,,ホワイトボードに描いたような画像を生成して。言語は日本語。図、矢印、ボックス、そして主要なアイデアを視覚的に説明するキャプションを使用してください。色も使用してくださhttps://x.com/hAru_mAki_ch/status/1991820121623662706?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1991820121623662706%7Ctwgr%5Ec6e583de1b1b2880a0ab14f9652f9f6d5e8edf26%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fnote.com%2Fsunwood_ai_labs%2Fn%2Fn0693c015f58aい,,,,,,,,,,,,,
,,,,LINEのスタンプのように９パターン画像生成,,,,,,,,,,,,,
,,,,右斜め上から描いて,,,,,,,,,,,,,
,,,,お土産のキーホルダーにして,,,,,,,,,,,,,
,,,,SDガンダムのようなカーダスみたいにカード出して,,,,,,,,,,,,,
,,,,https://x.com/excel_niisan/status/1993163433106383000,,,,,,,,,,,,,
,,,,https://x.com/googlejapan/status/1993276460585701663,,,,,,,,,,,,,
,,,,https://x.com/googlejapan/status/1993107366972170251,,,,,,,,,,,,,
,,,,https://x.com/googlejapan/status/1991755967307084004,,,,,,,,,,,,,
,,,,https://x.com/googlejapan/status/1991522884351607188,,,,,,,,,,,,,
,,,,https://x.com/seiiiiiiiiiiru/status/1991630526558662964?s=20,,,,,,,,,,,,,
,,,,https://x.com/nobisiro_2023/status/1965249049445163155?s=20,,,,,,,,,,,,,
,,,,https://x.com/googlejapan/status/1965769937307496758?s=20,,,,,,,,,,,,,
,,,,https://x.com/akira_papa_IT/status/1992510827581366474?s=20,,,,,,,,,,,,,
,,,,https://x.com/konmari_tweet/status/1992008677449244879?s=20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0,エンタメ/クリエイティブ,P: パッケージデザイナーT: 食品メーカー,SNS投稿画像生成,"アップロードした料理写真を参照し、料理そのものの形・色・質感は忠実に維持しながら、プロのフードフォトグラファーが撮影したような完成度の高い写真に再構成する。

【目的】
・料理の魅力を最大限に引き出したハイクオリティな“広告レベル”のフードフォトに加工
・アングル変更や構図最適化も行い、最も美味しそうに見える視点に再配置
・インスタ映えする洗練されたビジュアルに仕上げる

【アングル・構図】
・料理が最も映える角度を自動で再構築
　例：45度の斜めアングル、真上からのフラットレイ、テーブル奥行きのある構図など
・料理を主役にしたシンプルで高級感のある構図
・余白バランスを整え、視線が自然に料理へ導かれるレイアウト

【画像加工】
・自然光風の柔らかいライティングに調整（ハイライトは暖かく、シャドウは控えめ）
・ホワイトバランスと彩度を補正し、色のくすみを除去
・質感が立ち上がる高度なテクスチャ処理
・軽いシャープネスでシズル感（湯気・油の光沢・質感）を強調
・背景の不要物は完全に除去
・背景は上品でクラシックなボケ（浅い被写界深度）またはミニマル背景へ再構築
・高級レストランの広告写真に見えるレベルに調整

【仕上がりイメージ】
・ナチュラルで暖かい色調
・雑誌広告／高級レストラン公式写真のようなクオリティ
・“美味しさ” と “世界観” の両方が際立つインスタ映えスタイル
・過度な加工ではなく、リアルで品のあるプロの仕上げ",,https://x.com/SSSS_CRYPTOMAN/status/1994003853000495200?s=20,,,,,,,,,,,
0,エンタメ/クリエイティブ,,SNS投稿画像生成,"◆JOJO立ち(正面撮り)

Use the uploaded photo as the base.

Keep the person’s **face, hairstyle, makeup, outfit, and overall identity** clearly recognizable and photorealistic.  
Do NOT turn the whole image into a drawing or manga panel.  
Do NOT change the background setting or time of day.

TRANSFORM THE POSE (JOJO STYLE):
- Adjust the body into an exaggerated, dynamic “JoJo-style” pose:
  - twisted torso, strong contrapposto
- The pose should look dramatic and stylish but still anatomically believable.
- Preserve clothing design but allow natural deformation and creasing to match the new pose.
- Maintain realistic lighting and shading on the body and clothes.

ADD MANGA-STYLE SFX AROUND THE PERSON:
- Add bold Japanese sound effects in a JoJo manga style, drawn as clean black-and-white line art:
  - 「ゴゴゴゴゴ…」
  - 「ドドドドド…」
  - 「バァーーン！！」
  - 「ズキューーーン！」
- Place them around the character:
  - some floating behind the person
  - some partly overlapping the background near the shoulders or hands
  - do NOT cover the person’s face.
- SFX style:
  - thick inked outlines, no gradients
  - filled with solid black or left white inside
  - with slight perspective distortion so they feel integrated into the scene.

OPTIONAL MANGA LINES:
- Add a few subtle speed lines or impact lines behind the person to emphasize motion and power,
  but keep the original background still visible.
- Use only black line work for these, no large solid fills.

OVERALL GOAL:
Create a photorealistic image where the original person is still clearly themselves,
but their body has been adjusted into a bold JoJo-style dynamic pose, surrounded by Japanese
manga sound effects and subtle speed lines, giving the feeling of a powerful manga splash page
inside a real photograph.",,https://x.com/AI_GIRL_DESIGN/status/1994374110408057222?s=20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0,自己満足,自分もしくは友人,・表情が硬いといわれる人・TPOにあった表情がしたい・本当の自分の笑顔を見たい人・履歴書に貼る写真を好感度のあるものにしたい・コスプレがしたいが勇気がない・難易度の高い表情ができない人※事前準備として、右記に従い５枚の写真を撮影してください。,,"５枚の写真を貼付し、下記のプロンプトをコピペしてください。
【① 3D分析プロンプト】

# [ROLE & TASK DEFINITION]
You are now acting as an advanced ""3D Modeling & Forensic Reconstruction AI Specialist"". Your SOLE task is to accurately analyze the integrated skeletal structure from the 5 provided reference photos and reconstruct the subject's true appearance as 3D data without ANY beautification or modification.

# [GENERATION ORDER & PROCESSING LOGIC]
(Masterpiece, photorealistic portrait), extremely tight head shot of a specific middle-aged Japanese man based solely on the integrated features from the 5 reference images provided.

# [IMPORTANT Priority & Logic]
# 1. PRIORITY (絶対優先事項):
# The bone structure, facial geometry, and specific features derived from the 5 reference images are the absolute priority. Do not use generic facial data to fill in gaps. The output must be a faithful reconstruction of this specific individual.
# 2. 3D INTEGRATION (3D結合処理):
# Mentally combine the 5 angles to construct a single, unified 3D head model.

# [SPECIFIC FEATURES & MUSCLE HABIT]
# - Subject: Japanese male, late 40s to 50s.
# - MUSCLE HABIT (Neutral State - LOCKED):
#   - Expression: Absolutely Neutral. No smiling, no frowning, no tension.
#   - Eyes: Eyelids are heavy and partially cover the eyes, creating a sharp, calm gaze.
#   - Mouth: Lips are closed firmly in a straight line.

# [ENVIRONMENT & NOISE REDUCTION]
# - Lighting: Soft, even, natural studio lighting.
# - Framing: Extremely tight portrait from the base of the neck up. Clothing must be completely excluded.","【② 表情生成プロンプト（魔法の鏡）】

★表情入力欄（ここだけ書き換えてください）★
「ここに表情を日本語で入力」
(以下はAIへの処理命令です。このまま送信してください)

[AIへの絶対指令：役割とタスク]
あなたは高度な「3D生体構造維持・表情筋制御AI専門官」である。 あなたの任務は、直前のステップで確立された「ベース人物の3D構造」を絶対に崩さず、上記「★表情入力欄★」に入力された日本語の感情を、リアルな筋肉の動きとして適用することである。

[重要：リミッターと安全装置]
激しい感情が入力された場合でも、ベース顔の骨格崩壊を防ぐため、以下のリミッターを絶対に厳守せよ。

可動域制限: 顎の関節が外れるような極端な開口や、顔の輪郭自体が歪むような筋肉の動きは物理的に不可能として禁止する。

表現の上限値: 感情強度は最大でも「解剖学的に可能な範囲の限界（Level 9/10）」で留め、骨格を破壊するLevel 10には決して到達させないこと。限界に達した場合は、その範囲内で最大の表現を行うこと。

[処理ロジック]
ベースの完全ロック: 直前の画像で定義された骨格、顔のパーツ配置、本人性は絶対に維持し、一切の改変・美化を禁止する。

表情の適用: 入力された感情を、上記リミッターの範囲内で、最大限の解剖学的な筋肉の動きとして適用せよ。

環境の維持: ライティングは柔らかいスタジオ照明。フレーミングは首の付け根から上の極めてタイトなヘッドショット。

ノイズ除去: 衣服、襟、シャツなどはフレーム内から完全に排除・除外し、一切描写してはならない。

[最終出力プロンプトの生成（内部処理）]
(Masterpiece, photorealistic portrait), extremely tight head shot of the established middle-aged Japanese man base structure. The facial anatomy is locked within safe limits. The expression is [リミッター範囲内で翻訳された筋肉の動きをここに適用]. No clothing is visible.

AIがあなたの顔を崩さず、指定した表情の画像を生成してくれます！","💡 うまくいかないときは？
別人が生成される: ステップ1の写真の品質（光、角度、真顔かどうか）を見直してみてください。写真がバラバラだとAIが混乱します。

顔が崩れる: ステップ2で入力した表情が激しすぎる可能性があります。「少し抑えめの笑顔」のように調整してみてください。（リミッターは付いていますが、限界はあります）

AIが記憶を失った: チャットが長くなると、AIがステップ1の記憶を忘れることがあります。その場合は、もう一度ステップ1からやり直してください。",,,,,,,,,,
,,,,"カテゴリ,キー,値
品質/スタイル,Quality Keywords,""MASTERPIECE, PHOTOREALISTIC, BEST QUALITY, HIGHLY DETAILED, 8K, high contrast""
被写体,Subject,""A captivating medium close-up of a beautiful young, tan-skinned woman, eating a slice of ripe watermelon. Direct gaze, engaging, subtle sultry expression.""
描写/服装,Description,""Minimal black string bikini, light blue scrunchie securing messy blonde bun, defined cheekbones, full lips.""
ライティング/技術,Photography/Lighting,""Sharp natural daylight, soft subtle rim lighting effect, shallow depth of field (blurred background), Eye-level shot. Aspect Ratio 4:5.""
背景/情景,Background,""Rustic Mediterranean stone table, blue ocean, cloudy sky, stone patio architecture.""
ネガティブプロンプト,Negative Prompt,""ugly, low-resolution, blurry, deformed, worst quality, extra limbs, bad anatomy, malformed hands, missing fingers, watermarks, logos, signature, grainy, out of focus, duplicate, text, poorly drawn.""","MASTERPIECE, PHOTOREALISTIC, BEST QUALITY, HIGHLY DETAILED. A captivating medium close-up of a beautiful young, tan-skinned woman sitting at a rustic Mediterranean stone table, enjoying a slice of ripe watermelon. She is looking directly at the camera with an engaging, subtle sultry expression. She wears a minimal black string bikini and a light blue scrunchie securing her messy blonde bun. The scene is drenched in sharp, natural daylight with a soft, subtle rim lighting effect, highlighting her defined cheekbones and full lips. The background features a blurred (shallow depth of field) view of the blue ocean and a cloudy sky, framed by the stone patio architecture. Aspect Ratio 4:5.
Negative Prompt: ugly, low-resolution, blurry, deformed, worst quality, extra limbs, bad anatomy, malformed hands, missing fingers, watermarks, logos, signature, grainy, out of focus, duplicate, text, poorly drawn.","カテゴリ,キー,値
品質/スタイル,品質強調キーワード,最高傑作、超リアルな写真、最高品質、高精細、8K、ハイコントラスト
被写体,人物描写,小麦色の肌の美しい若い女性の魅惑的なメディアム・クローズアップ。熟したスイカを食べている。カメラ目線で、魅惑的でわずかに色っぽい表情。
描写/服装,細部,ミニマルな黒のストリングビキニ、薄い青のシュシュ、ルーズなブロンドのお団子ヘア、シャープな頬骨、豊かな唇。
ライティング/技術,撮影技法,シャープな自然光、柔らかく繊細なリムライティング（輪郭光）、浅い被写界深度（背景ボケ）。目線の高さからの撮影。アスペクト比 4:5。
背景/情景,環境描写,素朴な地中海風の石造りテーブル、青い海、曇り空、石造りのテラス建築。
ネガティブプロンプト,生成してはいけない要素,醜い、低解像度、ぼやけ、変形、最低品質、余分な手足、悪い体の構造、奇形の手、指の欠損、透かし、ロゴ、署名、粒状、ピンボケ、重複、文字、拙い描写。",,,,,,,,,,,
